RBP,IS_K562,IS_HepG2,IS_avg,VS_K562,VS_HepG2,VS_avg
TIAL1,NA,7.927556291934535,NA,NA,0.8068390692749419,NA
TRA2A,2.9005327948764346,3.998601181275718,3.3612500924186945,0.5064345656436486,0.6044643413442806,0.5554494534939646
TROVE2,4.535759626882046,3.479405261904387,3.926597997764038,0.7620989877095327,0.7112247535454979,0.7366618706275153
U2AF1,8.158732375414015,4.1603357912655,5.508372694856956,0.7432011024957453,0.6335482077816379,0.6883746551386917
U2AF2,5.132584920409029,2.4767188355634837,3.3406165873966382,0.6326398866940708,0.3835026887087657,0.5080712877014183
UCHL5,1.782379083468839,1.4959261774291077,1.6202543211256757,0.3165130838021982,0.24727355357255204,0.288044061073526
UPF1,11.692795456643548,2.8284828001051645,4.549697757513985,0.7731313927082349,0.5979277951268908,0.6855295939175629
UTP18,2.1329543360649654,1.7063267183445299,1.778084417372335,0.4592362090124271,0.4105555588024349,0.387807367808087
UTP3,3.7412988746043063,NA,NA,0.7330956759513805,NA,NA
WDR3,1.9515838460275148,NA,NA,0.4365743983008494,NA,NA
WDR43,1.9846643761188507,1.7358783152041288,1.8514018937357564,0.40651719614028903,0.39789299139971,0.4259571419915407
WRN,1.9586273321334349,NA,NA,0.47494532029068787,NA,NA
XPO5,NA,3.0195410152738726,NA,NA,0.5670075119800823,NA
XRCC6,1.5749624304582612,2.1329187687492808,1.7203472302751612,0.24705812403019434,0.5182374210096474,0.37865380677566074
XRN2,2.4585632935002772,3.434913732599175,2.864981940755178,0.3393623902583796,0.4460018445001396,0.3926821173792596
YBX3,1.2433573620656118,3.471080757100115,1.8289642181525694,0.1491996973188227,0.6315854179279424,0.39198660836548305
YWHAG,1.480461628157208,NA,NA,0.2179992798771968,NA,NA
ZC3H11A,18.92303555019049,2.1464041159209355,3.6033437755681446,0.8135537686035391,0.4690794364889446,0.5439856445455975
ZC3H8,3.3481168974052338,NA,NA,0.6163351527567815,NA,NA
ZNF622,1.7642453170138186,NA,NA,0.3198554252075271,NA,NA
ZNF800,2.0271240837805675,1.5027398323329522,1.7219064536702466,0.3864858306849648,0.23760747691458892,0.3134884430933701
ZRANB2,4.48698345219619,NA,NA,0.7144315082860853,NA,NA
